For the starting case of [2, 2, 2, 3] here are 3 versions of the algorithm, each one preventing more duplicates. It is usefule for 
analysis of which cases couldn't be handeled in each of the versions.


target   # of solutions   all solutions

target   # of solutions   all solutions
     1   63               ['((2 + 3) - (2 + 2))', '((2 + 3) - (2 * 2))', '(((2 + 3) - 2) - 2)', '(2 - (2 + (2 - 3)))', '((2 - (2 - 3)) - 2)', '((2 - 2) - (2 - 3))', '((2 - 2) - (2 - 3))', '((3 - 2) + (2 - 2))', '((3 - 2) - (2 - 2))', '((3 - 2) + (2 - 2))', '((3 - 2) - (2 - 2))', '((3 - 2) ÷ (2 ÷ 2))', '((3 - 2) * (2 ÷ 2))', '((2 + (3 - 2)) - 2)', '(2 - (2 - (3 - 2)))', '(2 + ((3 - 2) - 2))', '(2 ÷ (2 ÷ (3 - 2)))', '(2 * ((3 - 2) ÷ 2))', '(2 ÷ (2 * (3 - 2)))', '((2 ÷ (2 ÷ 3)) - 2)', '(2 * (2 - (3 ÷ 2)))', '((2 * (3 ÷ 2)) - 2)', '(((2 * 3) ÷ 2) - 2)', '(23 - 22)', '(23 - 22)', '((2 + 3) - (2 + 2))', '(2 + (3 - (2 + 2)))', '(2 - ((2 + 2) - 3))', '(3 + (2 - (2 + 2)))', '(3 - ((2 + 2) - 2))', '(3 - ((2 + 2) ÷ 2))', '((2 - 2) - (2 - 3))', '((2 - 2) + (3 - 2))', '((3 - 2) - (2 - 2))', '(3 - (2 + (2 - 2)))', '(3 - (2 - (2 - 2)))', '(3 + ((2 - 2) - 2))', '((3 + (2 - 2)) - 2)', '((3 - (2 - 2)) - 2)', '((2 - 2) - (2 - 3))', '((2 - 2) + (3 - 2))', '((3 - 2) - (2 - 2))', '(3 - (2 + (2 - 2)))', '(3 - (2 - (2 - 2)))', '(3 + ((2 - 2) - 2))', '((3 + (2 - 2)) - 2)', '((3 - (2 - 2)) - 2)', '(2 ÷ (3 - (2 ÷ 2)))', '((3 ÷ (2 ÷ 2)) - 2)', '((3 * (2 ÷ 2)) - 2)', '((2 ÷ 2) ÷ (3 - 2))', '((2 ÷ 2) * (3 - 2))', '(3 ÷ (2 + (2 ÷ 2)))', '(3 - (2 ÷ (2 ÷ 2)))', '(3 - (2 * (2 ÷ 2)))', '((2 + 3) - (2 * 2))', '(3 + (2 - (2 * 2)))', '(3 - ((2 * 2) - 2))', '(3 - ((2 * 2) ÷ 2))', '(2 + (3 - (2 * 2)))', '(2 - ((2 * 2) - 3))', '(23 - 22)', '(23 - 22)']
     2   32               ['(2 ÷ (2 + (2 - 3)))', '(2 * (2 + (2 - 3)))', '((2 ÷ 2) - (2 - 3))', '((3 - 2) + (2 ÷ 2))', '(2 ÷ (2 - (3 - 2)))', '(2 * (2 - (3 - 2)))', '((2 * 3) - (2 + 2))', '((2 * 3) - (2 * 2))', '(((2 * 3) - 2) - 2)', '(((2 * 3) - 2) ÷ 2)', '((2 * 3) - (2 + 2))', '(2 ÷ ((2 + 2) - 3))', '(2 * ((2 + 2) - 3))', '((2 + (2 + 2)) ÷ 3)', '(2 + ((2 - 2) ÷ 3))', '(2 - ((2 - 2) ÷ 3))', '(2 + (3 * (2 - 2)))', '(2 - (3 * (2 - 2)))', '(2 + ((2 - 2) ÷ 3))', '(2 - ((2 - 2) ÷ 3))', '(2 + (3 * (2 - 2)))', '(2 - (3 * (2 - 2)))', '((3 + (2 ÷ 2)) - 2)', '((3 + (2 ÷ 2)) ÷ 2)', '((2 ÷ 2) - (2 - 3))', '((2 ÷ 2) + (3 - 2))', '(3 - (2 - (2 ÷ 2)))', '(3 + ((2 ÷ 2) - 2))', '((2 * 3) - (2 * 2))', '((2 + (2 * 2)) ÷ 3)', '(2 ÷ ((2 * 2) - 3))', '(2 * ((2 * 2) - 3))']
     3   27               ['(2 + (2 + (2 - 3)))', '((2 - 3) + (2 + 2))', '((2 - 3) + (2 * 2))', '((2 + 2) - (3 - 2))', '((2 * 2) - (3 - 2))', '(2 + (2 - (3 - 2)))', '(2 - ((3 - 2) - 2))', '((2 + 2) + (2 - 3))', '((2 + 2) - (3 - 2))', '(2 - (3 - (2 + 2)))', '(2 + ((2 + 2) - 3))', '((2 + (2 + 2)) - 3)', '(3 + ((2 - 2) ÷ 2))', '(3 - ((2 - 2) ÷ 2))', '(3 + (2 * (2 - 2)))', '(3 - (2 * (2 - 2)))', '(3 + ((2 - 2) ÷ 2))', '(3 - ((2 - 2) ÷ 2))', '(3 + (2 * (2 - 2)))', '(3 - (2 * (2 - 2)))', '(3 ÷ (2 - (2 ÷ 2)))', '(3 * (2 - (2 ÷ 2)))', '((2 * 2) + (2 - 3))', '((2 * 2) - (3 - 2))', '((2 + (2 * 2)) - 3)', '(2 - (3 - (2 * 2)))', '(2 + ((2 * 2) - 3))']
     4   24               ['((2 + 3) - (2 ÷ 2))', '(2 - (2 ÷ (2 - 3)))', '(2 - (2 * (2 - 3)))', '((2 + 2) ÷ (3 - 2))', '((3 - 2) * (2 + 2))', '((2 * 2) ÷ (3 - 2))', '((3 - 2) * (2 * 2))', '(2 + (2 ÷ (3 - 2)))', '(2 * (2 ÷ (3 - 2)))', '(2 ÷ ((3 - 2) ÷ 2))', '(2 + (2 * (3 - 2)))', '(2 * (2 * (3 - 2)))', '(2 ÷ (2 - (3 ÷ 2)))', '((2 + (2 * 3)) ÷ 2)', '((2 + 2) ÷ (3 - 2))', '((2 + 2) * (3 - 2))', '(2 + (3 - (2 ÷ 2)))', '(2 * (3 - (2 ÷ 2)))', '(2 - ((2 ÷ 2) - 3))', '((2 + 3) - (2 ÷ 2))', '(3 + (2 - (2 ÷ 2)))', '(3 - ((2 ÷ 2) - 2))', '((2 * 2) ÷ (3 - 2))', '((2 * 2) * (3 - 2))']
     5   60               ['((2 + 3) + (2 - 2))', '((2 + 3) - (2 - 2))', '((2 + 3) + (2 - 2))', '((2 + 3) - (2 - 2))', '((2 + 3) ÷ (2 ÷ 2))', '((2 + 3) * (2 ÷ 2))', '((2 + (2 + 3)) - 2)', '(2 - (2 - (2 + 3)))', '(2 + ((2 + 3) - 2))', '(2 ÷ (2 ÷ (2 + 3)))', '(2 * ((2 + 3) ÷ 2))', '((2 * (2 + 3)) ÷ 2)', '(2 + (2 - (2 - 3)))', '(2 - ((2 - 3) - 2))', '((2 + 2) - (2 - 3))', '((2 * 2) - (2 - 3))', '((3 - 2) + (2 + 2))', '((3 - 2) + (2 * 2))', '(2 + (2 + (3 - 2)))', '(2 + (2 ÷ (2 ÷ 3)))', '(2 + (2 * (3 ÷ 2)))', '((2 * 3) - (2 ÷ 2))', '(2 + ((2 * 3) ÷ 2))', '((2 + 2) - (2 - 3))', '((2 + 2) + (3 - 2))', '((3 + (2 + 2)) - 2)', '(3 - (2 - (2 + 2)))', '(3 + ((2 + 2) - 2))', '(3 + ((2 + 2) ÷ 2))', '((2 * (2 + 2)) - 3)', '((2 - 2) + (2 + 3))', '((2 + 3) - (2 - 2))', '(3 + (2 + (2 - 2)))', '(3 + (2 - (2 - 2)))', '(3 - ((2 - 2) - 2))', '(2 + (3 + (2 - 2)))', '(2 + (3 - (2 - 2)))', '(2 - ((2 - 2) - 3))', '((2 - 2) + (2 + 3))', '((2 + 3) - (2 - 2))', '(3 + (2 + (2 - 2)))', '(3 + (2 - (2 - 2)))', '(3 - ((2 - 2) - 2))', '(2 + (3 + (2 - 2)))', '(2 + (3 - (2 - 2)))', '(2 - ((2 - 2) - 3))', '(2 + (3 ÷ (2 ÷ 2)))', '(2 + (3 * (2 ÷ 2)))', '((2 + 3) ÷ (2 ÷ 2))', '((2 ÷ 2) * (2 + 3))', '((2 * 3) - (2 ÷ 2))', '(3 + (2 ÷ (2 ÷ 2)))', '(3 + (2 * (2 ÷ 2)))', '((2 * 2) - (2 - 3))', '((2 * 2) + (3 - 2))', '(3 - (2 - (2 * 2)))', '(3 + ((2 * 2) - 2))', '(3 + ((2 * 2) ÷ 2))', '((2 * (2 * 2)) - 3)', '((3 + (2 * 2)) - 2)']
     6   58               ['((2 + 3) + (2 ÷ 2))', '(2 * ((2 + 3) - 2))', '(2 * (2 - (2 - 3)))', '(2 * (2 + (3 - 2)))', '(2 * (2 ÷ (2 ÷ 3)))', '(2 ÷ ((2 ÷ 3) ÷ 2))', '((2 + 2) ÷ (2 ÷ 3))', '((2 * 2) ÷ (2 ÷ 3))', '((3 ÷ 2) * (2 + 2))', '((3 ÷ 2) * (2 * 2))', '(2 * (2 * (3 ÷ 2)))', '((2 * 3) + (2 - 2))', '((2 * 3) - (2 - 2))', '((2 * 3) + (2 - 2))', '((2 * 3) - (2 - 2))', '((2 * 3) ÷ (2 ÷ 2))', '((2 * 3) * (2 ÷ 2))', '((2 + (2 * 3)) - 2)', '(2 - (2 - (2 * 3)))', '(2 + ((2 * 3) - 2))', '(2 ÷ (2 ÷ (2 * 3)))', '(2 * ((2 * 3) ÷ 2))', '((2 * (2 * 3)) ÷ 2)', '((2 + 2) ÷ (2 ÷ 3))', '((2 + 2) * (3 ÷ 2))', '((3 * (2 + 2)) ÷ 2)', '(3 * ((2 + 2) - 2))', '(3 ÷ (2 ÷ (2 + 2)))', '(3 * ((2 + 2) ÷ 2))', '((2 - 2) + (2 * 3))', '((2 * 3) - (2 - 2))', '(3 * (2 + (2 - 2)))', '(3 * (2 - (2 - 2)))', '(2 * (3 + (2 - 2)))', '(2 * (3 - (2 - 2)))', '((2 - 2) + (2 * 3))', '((2 * 3) - (2 - 2))', '(3 * (2 + (2 - 2)))', '(3 * (2 - (2 - 2)))', '(2 * (3 + (2 - 2)))', '(2 * (3 - (2 - 2)))', '(2 + (3 + (2 ÷ 2)))', '(2 * (3 ÷ (2 ÷ 2)))', '(2 ÷ ((2 ÷ 2) ÷ 3))', '(2 * (3 * (2 ÷ 2)))', '((2 ÷ 2) + (2 + 3))', '((2 * 3) ÷ (2 ÷ 2))', '((2 ÷ 2) * (2 * 3))', '(3 + (2 + (2 ÷ 2)))', '(3 * (2 ÷ (2 ÷ 2)))', '(3 ÷ ((2 ÷ 2) ÷ 2))', '(3 * (2 * (2 ÷ 2)))', '((2 * 2) ÷ (2 ÷ 3))', '((2 * 2) * (3 ÷ 2))', '(3 * ((2 * 2) - 2))', '(3 ÷ (2 ÷ (2 * 2)))', '(3 * ((2 * 2) ÷ 2))', '((3 * (2 * 2)) ÷ 2)']
     7   3                ['(2 * (2 + (3 ÷ 2)))', '((2 * 3) + (2 ÷ 2))', '((2 ÷ 2) + (2 * 3))']
     8   12               ['((2 * (2 + 3)) - 2)', '(2 * ((2 * 3) - 2))', '(32 ÷ (2 + 2))', '(32 ÷ (2 * 2))', '((32 ÷ 2) ÷ 2)', '(32 ÷ (2 + 2))', '(2 * (3 + (2 ÷ 2)))', '(32 ÷ (2 * 2))', '((2 + 22) ÷ 3)', '((22 ÷ 2) - 3)', '((2 + 22) ÷ 3)', '((22 ÷ 2) - 3)']
     9   10               ['((2 + 3) + (2 + 2))', '((2 + 3) + (2 * 2))', '(2 + (2 + (2 + 3)))', '((2 + 2) + (2 + 3))', '(2 + (3 + (2 + 2)))', '(3 + (2 + (2 + 2)))', '(3 * (2 + (2 ÷ 2)))', '((2 * 2) + (2 + 3))', '(3 + (2 + (2 * 2)))', '(2 + (3 + (2 * 2)))']
    10   12               ['((2 * 3) + (2 + 2))', '((2 * 3) + (2 * 2))', '(2 + (2 + (2 * 3)))', '((2 * (2 * 3)) - 2)', '(32 - 22)', '(32 - 22)', '((2 + 2) + (2 * 3))', '((3 * (2 + 2)) - 2)', '((2 * 2) + (2 * 3))', '((3 * (2 * 2)) - 2)', '(32 - 22)', '(32 - 22)']

    target   # of solutions   all solutions
